"id","分类","优先级","文件或资源","位置","告警内容","建议处理方式","状态","完成说明"
"W001","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2232","the string of 'assistant_editor_identity_section' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W002","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2236","the string of 'assistant_editor_identity_desc' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W003","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2240","the string of 'assistant_editor_prompt_section' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W004","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2244","the string of 'assistant_editor_prompt_desc' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W005","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2248","the string of 'assistant_editor_model_section' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W006","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2252","the string of 'assistant_editor_model_desc' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W007","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2256","the string of 'assistant_editor_sampling_section' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W008","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2260","the string of 'assistant_editor_sampling_desc' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W009","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2264","the string of 'assistant_editor_context_section' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W010","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2268","the string of 'assistant_editor_context_desc' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W011","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2272","the string of 'assistant_context_message_count' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W012","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2276","the string of 'assistant_context_unlimited' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W013","资源基线缺失","P1","entry/src/main/resources/zh_CN/element/string.json","2280","the string of 'assistant_context_message_hint' does not have a base resource","将同名 string 补到 entry/src/main/resources/base/element/string.json，保持 base 默认文案可用","完成","已补齐 base string 资源"
"W014","异常处理缺失","P1","entry/src/main/ets/state/AppUiState.ets","566:3","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W015","异常处理缺失","P1","entry/src/main/ets/utils/ToastUtil.ets","46:3","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W016","异常处理缺失","P1","entry/src/main/ets/services/ShareService.ets","341:33","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W017","异常处理缺失","P1","entry/src/main/ets/services/ShareService.ets","354:9","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W018","异常处理缺失","P1","entry/src/main/ets/services/ShareService.ets","357:20","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W019","异常处理缺失","P1","entry/src/main/ets/services/ShareService.ets","358:7","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W020","异常处理缺失","P1","entry/src/main/ets/services/ShareService.ets","359:7","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W021","异常处理缺失","P1","entry/src/main/ets/services/IconDownloadCache.ets","46:7","Function may throw exceptions. Special handling is required.","按调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W022","废弃 API","P1","entry/src/main/ets/services/IconDownloadCache.ets","135:38","'packing' has been deprecated.","先查官方替代说明，再迁移 packing 调用或保留兼容封装","完成","已按官方替代 API 迁移"
"W023","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1890:21","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W024","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1890:41","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W025","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1898:7","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W026","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1898:27","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W027","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1904:25","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W028","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","1904:43","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W029","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2735:29","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W030","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2738:14","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W031","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2743:7","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W032","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2767:29","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W033","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2769:14","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W034","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2774:22","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W035","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2774:40","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W036","异常处理缺失","P1","entry/src/main/ets/services/DatabaseService.ets","2778:7","Function may throw exceptions. Special handling is required.","按数据库事务语义补 try/catch 或显式错误传播，确保失败路径可回滚或可诊断","完成","已补 try/catch 或安全降级处理"
"W037","异常处理缺失","P1","entry/src/main/ets/services/HttpService.ets","504:30","Function may throw exceptions. Special handling is required.","按网络请求失败语义补 try/catch 或显式错误传播，避免隐藏请求异常","完成","已补 try/catch 或安全降级处理"
"W038","异常处理缺失","P1","entry/src/main/ets/state/AppSettingsState.ets","117:3","Function may throw exceptions. Special handling is required.","按设置持久化语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W039","异常处理缺失","P1","entry/src/main/ets/viewmodels/ChatViewModel.ets","2891:30","Function may throw exceptions. Special handling is required.","按聊天流程语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W040","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","49:16","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W041","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","54:26","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W042","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","60:9","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W043","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","61:9","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W044","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","132:25","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W045","异常处理缺失","P1","entry/src/main/ets/utils/FormThemeSyncUtils.ets","140:9","Function may throw exceptions. Special handling is required.","按卡片主题同步语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W046","异常处理缺失","P1","entry/src/main/ets/services/BackgroundRunGuardService.ets","119:18","Function may throw exceptions. Special handling is required.","按后台运行权限或能力调用语义补 try/catch，避免权限能力异常未处理","完成","已补 try/catch 或安全降级处理"
"W047","异常处理缺失","P1","entry/src/main/ets/services/ChatNotificationService.ets","147:18","Function may throw exceptions. Special handling is required.","按通知能力调用语义补 try/catch，避免通知失败异常未处理","完成","已补 try/catch 或安全降级处理"
"W048","异常处理缺失","P1","entry/src/main/ets/services/ChatNotificationService.ets","165:18","Function may throw exceptions. Special handling is required.","按通知能力调用语义补 try/catch，避免通知失败异常未处理","完成","已补 try/catch 或安全降级处理"
"W049","异常处理缺失","P1","entry/src/main/ets/services/WebDAVService.ets","308:18","Function may throw exceptions. Special handling is required.","按 WebDAV 响应处理语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W050","异常处理缺失","P1","entry/src/main/ets/services/WebDAVService.ets","313:7","Function may throw exceptions. Special handling is required.","按 WebDAV 响应处理语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W051","异常处理缺失","P1","entry/src/main/ets/services/WebDAVService.ets","315:7","Function may throw exceptions. Special handling is required.","按 WebDAV 响应处理语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W052","废弃 API","P1","entry/src/main/ets/components/MessageBubble.ets","2938:33","'packing' has been deprecated.","先查官方替代说明，再迁移 packing 调用或保留兼容封装","完成","已按官方替代 API 迁移"
"W053","异常处理缺失","P1","entry/src/main/ets/pages/ChatPage.ets","496:24","Function may throw exceptions. Special handling is required.","按页面能力调用语义补 try/catch 或显式错误传播，避免异常未处理","完成","已补 try/catch 或安全降级处理"
"W054","废弃 API","P1","entry/src/main/ets/config/PresetPrompts.ets","91:36","'getStringSync' has been deprecated.","先查官方替代说明，再调整资源读取路径或封装兼容处理","完成","已按官方替代 API 迁移"
